isolate,species,temperature,value
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18408,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,1
ICMP 18410,P. agathidicida,30C,0
ICMP 18410,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 18360,P. agathidicida,30C,0
ICMP 19451,P. heveae,30C,3
ICMP 19451,P. heveae,30C,5
ICMP 19451,P. heveae,30C,7
ICMP 19451,P. heveae,30C,8
ICMP 19451,P. heveae,30C,5
ICMP 19451,P. heveae,30C,5
ICMP 19451,P. heveae,30C,6
ICMP 19451,P. heveae,30C,7
ICMP 19451,P. heveae,30C,6
ICMP 19451,P. heveae,30C,5
ICMP 19451,P. heveae,30C,12
ICMP 19451,P. heveae,30C,12
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 19635,P. castaneae,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 17027,P. agathidicida,30C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16948,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 16949,P. cocois,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 19434,P. castaneae,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18401,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18404,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18406,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18407,P. agathidicida,32.5C,0
ICMP 18408,P. agathidicida,32.5C,0
ICMP 18408,P. agathidicida,32.5C,0
ICMP 18408,P. agathidicida,32.5C,0
ICMP 18408,P. agathidicida,32.5C,0
ICMP 18408,P. agathidicida,32.5C,0.5
ICMP 18408,P. agathidicida,32.5C,0.5
ICMP 18408,P. agathidicida,32.5C,0.5
ICMP 18408,P. agathidicida,32.5C,0.5
ICMP 18408,P. agathidicida,32.5C,1.5
ICMP 18408,P. agathidicida,32.5C,1.5
ICMP 18408,P. agathidicida,32.5C,1.5
ICMP 18408,P. agathidicida,32.5C,1.5
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18410,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 18360,P. agathidicida,32.5C,0
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,1
ICMP 19451,P. heveae,32.5C,2
ICMP 19451,P. heveae,32.5C,2
ICMP 19451,P. heveae,32.5C,2
ICMP 19451,P. heveae,32.5C,2
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 19635,P. castaneae,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
ICMP 17027,P. agathidicida,32.5C,0
